no_client;nom;adresse;ville;canton;no_postal
1;Archambault;2 Lindenstrasse;Zürich;ZH;8000
2;Au plaisir de Lire;10 route du Jura;Fribourg;FR;1700
3;Librairie du Nouveau Monde;35 rue des Acacias;Neuchâtel;NE;2000
4;Librairie La Liberté;1 avenue du Temple;Fribourg;FR;1700
5;Globe Trotteur;150 rue du Lac;Genève;GE;1200
6;Arts Lettres et Technique;20 Chaletweg;Basel;BS;4000
7;Camelot;7 Kramgasse;Luzern;LU;6000
8;Livres et Jardins;25 rue des Lilas;Bulle;FR;1630
9;Librairie du Centre;3 Place du Port;Nyon;GE;1260
10;Papyrus;40 rue de Carouge;Genève;GE;1200
11;Mes Lectures Jeunesse;12 rue des Sources;Genève;GE;1200
12;Univers Bandes Dessinées;52 avenue de la Gare;Lausanne;VD;1000
13;Librairie Ulysse;100 route de Meyrin;Genève;GE;1200
14;Librairie de l'Université;6 Haldenstrasse;Berne;BE;3000
15;Le Bouquiniste;1 place de Bel-Air;Genève;GE;1200
